description;MERO;ZÜLÝ;GÝZO;Toplu
Enerjiniz süper. Siz de tam böyle hep tavsiye istenilen, yakýnlarýnýn fikirlerine çok güvendiði biri havasý var. Benim ablam yok ama sizi izledikçe keþke sizin gibi bir ablam olsaydý diyorum. Düðün makyajýma kadar yaptýrýrdým. Çok da güzel olurdu. Heehhe ??;1;1;1;1
Bence bide yaðlý ciltler için cilt bakým rutini falan çekebilirsin;2;2;2;2
Dermoskin markasýnýn göz altý kremi ve temizleme köpüðünü kullandýnýzmý hiç?;2;2;2;2
BUNUN AYNISININ SAÇ BAKIMI GELSÝN LÜTFEEENNN..;2;2;2;2
Cilt tipimizi nasýl öðrenebiliriz;2;2;2;2
Bence haaarika bir video olmuþ;1;1;1;1
2 haftadýr fýndýk topluyordum amele yanýðý oldum :) köyde internet olmadýðý için haberdar deðildim ne olmuþ ne bitmiþ. videoyu yüklediðinde eve daha yeni gelmiþtim yýkandým paklandým hemen ilginç ürünler videonu izledim bunu da izleyecektim 'hepsini bir anda bitirmeyeyim kahve yapar öyle izlerim yarýn' diye bu videoyu da þimdi videonu izledim. Kremlerim yýkama köpüklerim bitmiþti daha iyilerini arýyordum kardeþimle yana döne bu video hele o link ilaç gibi geldi bütün korkularým gitti þimdi topladýðým fýndýðý satýp kendime kremler köpükler alacaðm anam ne kadar mutluyum ne kadar hevesliyim bir bilsen mezuna kaldým dershanede baþlayacak þimdi bana moral motivasyon oldu kendimi böylece eðlendiririm hem de yüzüme gözüme bakarým bu ürünlerle. MELEKMÝSÝN BE SEN KADIIIIIIIN;0;1;1;1
Bunun saç versiyonu da kesinlikle gelmeliii;2;2;2;2
Kapak resmine bayýldým abla sen biraz esmerleþtin sanki hee ??;1;1;1;1
Aslýnda çektiðin diðer ürünler de gayet uygun fiyatlý ancak kur bizim ülkemizi çok etkilediði için pahalý. Gençler bu yorumu görüyorsanýz söylediklerimi düþünün. Dünyanýn birçok ülkesinde bazýlarýnýn “PAHALI ÜRÜN KULLANIYORUM” diye hava attýðý(Merve deðil) ürünler çok ucuz. Bizim alým gücümüz olmadýðý için bize pahalý. Umarým meraklýsý olan (ben deðilim) her ürüne “olmasý gereken fiyat” ile ulaþýr.;1;1;1;1
arka planýn,hareketlerin gerçekten videolarýn mükemmel ?????????????????;1;1;1;1
Bunun ikincisi de gelsin;1;2;2;2
Diksiyonu çok güzel ????;1;2;1;1
Ben bu kadar karýþýk bir sürü þeyi üst üste sürünce her yerim sivilce doluyor ??;0;0;0;0
@Merve Özkaynak çok teþekkür ederim ???;1;1;1;1
Hepsini ayni anda surmeyin tabi ben de hepsini bir anda surmuyorum.;2;0;0;0
Merve abla videoyu izledim ve linke bastým ,þoka uðradým. Verdiðin ürünler gerekli ve etkili ürünlerdi ah keþke bunu da alabilsem deyip durdum video boyunca. Videoyu kapatinca 50 tlden fazla hadi tas catlasa 100 tlden fazla harciyamayacgimi hatirladim ama linke bakinca dunyalar benim oldu. ÇOOOK TEÞEKKÜR EDERIM MERVE ABLA;1;0;1;1
10:50 ben güneþ kremi yüzünden gözenek problemi yaþýyordum iyi temizlemesi için bu yaðý ve bioderma sensibio temizleyicisi i direkt büyük boy alarak kullandým. Komedojenik olmadýðýný düþünerek almýþtým ama bende sivilce yaptý ve kullanmayý býraktým.. Siz de küçük alýp deneyin sonra büyüðe geçin. Belki sivilcenin nedeni temizleyicimden kaynaklanýyordur tam çözemedim. Aknelerim geçince sadece jel kullanarak gözlemleyerek yorumu tekrar güncellerim alacaklara da tavsiye niteliðinde olmuþ olur. Beðenin ki üstte kalsýn yorum ?;0;1;0;0
Zýaja nin yüz temizleme ürününü bende kullanýyorum 17 yaþýndayým içeriði falan da çok güzel ayrýca vegan tavsiye ederim;1;1;1;1
Diðer ürünlerini kullandýn mi tonik felan memnun musun bende alacaðým cilt bakým ürünleri ama kararsizim;2;2;2;2
Artýk yorumlarda sürekli abla gençler için uygun fiyatlý cilt bakým ürünleri videosu yaparmýsýn yazýsýný görmüycez yehuu;1;0;1;1
Neden vegan olmayan ürünler öneriliyor kimse bunlara sinir olmuyor mu?;0;0;0;0
@Asuman Ece Kaya o zaman ortaya çýkýp Ralphi savunmayacaktý böyle yapinca kendisiyle çeliþiyor haklýsýnýz hersey çok pahalý ama bu bir bahane deðil hayýr video da uygun fiyatlý olup vegan ürün bulamadým da demiyor;0;2;0;0
Bu bütçe aralýðýnda malesef çok kaliteli ve vegan ürünler bulmak çok zor :/;0;0;0;0
Isana göz altý pedleri morluklara iyi gelir mi kullanan varsa cevap verirse sevinirim;2;2;2;2
Ohaa ne kadar güzelsin;1;1;1;1
Merhaba ??????Gül suyu nasýl ve ne zaman kullanýlýr? Kullananlar bilgi verse sevinirim??;2;2;2;2
Merve bende olan ve senin incelemeni istediðim meþhur kore bakým markasýnýn esfolio collagen essence mask sheet maskeleri var . Paketin üstünde korece yazdýðý için anlamadýðým ama domuz temalý bir marka olan maskeleri denemen lazým Ayrýca yine kore markasý olan yazýsýný anlamadýðým ama holika holika yazan çilekli maskelerinden de öneririm hepsi çok iyi kolajen maskeleri.???????;1;2;1;1
Merve abla yardýmcý olursan sevinirim :) Þimdi ben keçi sütü sabunu ve Çay aðacý sabunu kullanýyorum. Bununla birlikte bu bakým ürünlerinden de kullansam cildime zarar veriri mi ?;2;2;2;2
Lütfen newwell ürünlerini denermisin Merve abla ??;2;2;2;2
Çok tatlýsýn sana çok güveniyorum bu ürünleri alcam ????;1;1;1;1
Sac bakým rutiniiiii;2;2;2;2
Çok teþekkürler Merve ablacým yine harika bir video ve harika ürünler var önerilerin için teþekkür ederim seni çok seviyoruz ??????;1;1;1;1
Diadermine nasýl sizce? Bende yüz yýkama jeli ve günlük bakým kremi var.;2;2;2;2
@Merve Özkaynak Teþekkürleer;1;2;1;1
seviyorum ben;1;2;1;1
Merve abla erkekler için de böyle bir video çekebilir misin?;2;2;2;2
Bir eyeliner hastasý olarak Drag it eyelinera bayýlýyorum. Yüzünüzü yýkayýn, aðlayýn zýrlayýn hiç bir þey olmuyor. Sürümü ve temizlenmesi çok rahat. Kesinlikle tavsiye ederim.;1;1;1;1
@Asuman Ece Kaya Bir seneyi aþkýn süre önce aldým, hala kurumadý;2;1;0;0
Kime sorarsanýz sorun dünyanýn en hýzlý kuruyan eyelinerý :( piyasadaki bu aralýktaki milyon ürün gibi fiyat performans ürünü. Sýcak havalardan dolayý eriyor mu artýk bilmiyorum ama mürekkebi daðýlýyor, biraz araþtýrýnca çoðu insanda bu problemin yaþandýðýný okudum. Sürümü rahat onda herkes hemfikirdir herhalde ama belki bir þeyini deðiþtirdikleri için artýk çöp olan geçmiþte güzel olan ürünlerden ????;0;1;0;0
Abla bide jelatin'le suyu karýþýtýrýp siyah noktalara sürüyorlar yapsam etkiki olur mu?;2;2;2;2
@Begüm Þimþek teþekkür ederim;1;2;1;1
Sakýn kullanma kuzum gozeneklerini çekiþtirip büyütüyor anlýk güzel bir etki býrakýyor ama uzun vadede büyümüþ gözenekleri ve yeni siyah noktalar oluþuyor;0;0;0;0
Ablam valla alýnýndan öpesim geldi böyle bir videoya o kadar ihtiyacýmýz vardýki Seni seviyoruz ????;1;1;1;1
Abla cilt tipimi bilmiyorum nasýl anlayabilirim?;2;2;0;2
Mükemmel bir video olmuþ, bir ton malzeme eklendi alýþveriþe ????;1;1;1;1
Abla Bi kerede Allahýný seviyosan umre ye git mekke kabe yi çek;2;2;0;2
Ben ýrak tan takip ediyorum ürünler çok güzel yorumluyor ve anlatýyorsunuz ??;1;1;1;1
Aþýrý tatlý bir video çok yardýmcý oldu bana teþekkür ederizz ???;1;1;1;1
Abla sivilce için de bir seri yapar mýsýn tavsiye, ürün vs.;2;2;2;2
Emeðine diline saglýk oncellikle.Videoyu çok beðendim normal fiyatlý ürünlerle mis gibi malzemeler alýnabilecek bir video olmuþ.Yýllardýr takipçinim bir iki videoda daha yazdým ama görmedin instagramda sayfaný göremiyorum engel yemiþim ama neden oldugunu anlamadim.Soylemek istedim.Yeni videolari sabirsizlikla bekliyoruz.??;1;1;1;1
Gençlere özel olarak bakým aletleriniyle ilgili video çeker isin merve abla mesela at kýlý fýrçasý ya da foreo nun daha ucuz olan þekli gibi;2;2;2;2
Bu neutrogenanýn toniði bende yanma yaptý karma cildim var ama belki sadece bana öyle olmuþtur;0;0;0;0
Bu ürünlerle sýfýrdan makyaj nasýl yapýlýrýn videosu gelse harika olur;2;2;1;2
Yves rocher markasý cilt bakým ve makyaj ürünleri inceleme videosu yapar mýsýn ????;2;2;2;2
25 dakika sanki 2 dk gibi geçti video harýka olmuþ ?????? ürünlerin bazýlarýný ben de kullanýyorum. Ziaja toniði ben buzdolabýna tutuyorum yaz aylarýnda çok iyi oluyor þiddetle tavsiye ederim. Fondöten arýyordum essence önerini dikkate alýcam. Teþekkürler ?? ??;1;1;1;1
Abla watsons a yeni gelen lovely markasýnýn ürünlerini dene lütfennnnnn;2;2;2;2
Süpersin Merve ablacým ??;1;2;1;1
Sonundaaaa whooooo çok sevindim çok teþekkürler;1;2;1;1
Video gerçekten çok yararlý olmuþ.Tavsiyelerinizle gidip almayý düþündüðüm birkaç ürün var çok teþekkürler ??;1;1;1;1
Merhaba mari maria ürünlerini de inceleyebilir misiniz;2;2;2;2
Drag it eyeliner hastasýyým;1;1;1;1
Çok sevindim bu videoyu görünce nedense??;1;1;1;1
Hada Loba yý Hepsiburada da bulamadým;1;2;0;0
Çok tatlýsýn yaaa????;1;1;1;1
Missha nýn cilt bakým ürünlerini denermisin;2;2;2;2
Sen mükemmelsin ya çok teþekkür ederiz ??;1;1;1;1
Bildiðiniz güzel bir nemlendirici var mý uygun fiyatlý;2;2;2;2
sahaneeee hem egitici hem eglenceli kelimelere sigmayacak bi video daha iyi ki varsin merve lerin en en tatlisi;1;1;1;1
Bal kadýn;1;2;1;1
Yakýn çekimler efsane;1;2;1;1
Yine çok muhteþemsiniz ?????? bu arada saçlarýnýz göze çarpacak kadar uzuyor ve kalýnlaþiyor??maþallah olsun;1;1;1;1
SONUNDA;1;2;1;1
Abla lutfen 12 13 yaslar icin bakim ve az cok az makyaj videosu gelsin abla lutfen;0;2;2;2
Yeni üni öðrencisi olarak tavsiyerilerini dikkatle dinliyor olacaðým seni seviyorum merve ablam;1;2;1;1
Uygun fiyatlý bi pudra önermemiþ sanýrsam arkadaþlar sizin favoriniz varsa bana yazabilir misiniz?;2;0;0;0
listeye ekledim hem de vegan;1;2;1;1
Çok güzel bir video olmuþ bayýldým;1;1;1;1
irem Helvacýoðlu'nun kayýp ikizi misin abla ya;2;2;2;2
Zjava tonik o kadar iyi diyorlar ama ben etki görmedim;0;0;0;0
Neutrogena temizleyici tonik hergün kullanýyorum normal de bu videodan sonra daha dikkatli bir þekilde kullanacaðým. Avon dudak bakým yaðý harika ben sabah yüzümü temizledikten sonra kullanýyorum ve akþam yüzümü temizledikten sonra kullanýyorum ölü deriyi atýyor bunu gözlemleye biliyorsunuz.;1;1;1;1
@Elif Bozbey evet ben her gün kullanýyorum özellikle kýþ aylarinda tavsiye ederim ölü deriyi de atýyor bunu kullanýp gözlemleyebilirsiniz;1;1;1;1
Gerçekten o dudak yaðý iþe yarýyo mu;2;2;2;2
Muhteþem bi video olmuþþ;1;1;1;1
yaaa sonunda gelmisssss;1;2;1;1
Ben bilmiyorum benim yüzüm kuru deðil ama bilmiyorum nasýl bir çilde sahip olduðu mu bilmiyorum;2;0;0;0
Abla cildinin kuru yada nemli hassas oldunu nasýl biliyorsun;2;2;2;2
Note'un kapatýcýsýný ben de kullanýyorum çok çok az alýmda iki gözünüze birden yetiyor. Çoðu ürün bende varmýþ onu fark ettim. Çok seviyorum Merve seni çok faydalý içerikler yapýyorsun bana?? emeðine saðlýk ????;1;1;1;1
MERVE ABLACIMMMM HARÝKASIN TAM DA BEKLEDÝÐÝM VÝDEOOOOOO I LOVE YOU SO MUCHHHHHHHH;1;1;1;1
Her þeyiyle bence Merve Özkaynak artýk çok profesyonel... ve artýk tüm samimiyetimle söylemem gerekir ki hayranlýkla takip ediyorum.??;1;1;1;1
Uygun fiyatlý saç bakým ürünleri videosu da gelir mi ??;2;2;2;2
Gerçekten gerekli bir video olmuþ emeðinize saðlýk ????;1;1;1;1
Saðolun. Birde bazý youtuberlar sürekli övüyor yok mucize maske vb gibi bu aralar. Ben vaktinde o mutfak malzemeleriyle çok maske yaptým ve alnýmda siyah siyah noktalar çýktý. Sakýn onlara bulaþmayýn arkadaþlar böyle ürünler çok daha iyi. O kadar ürün kullandým hiç biri o maskeler kadar zarar vermedi;0;0;1;0
Merve abla aðzýna saðlýk, çok güzel anlattýn tüm ürünleri. Ben dinlerken yoruldum sen anlatýrken yorulmuþsundur. Seni gerçekten çok seviyoruzzzzz????;1;1;1;1
Arkada yansýyan renk hoþ deðil pembe panter gibi görünüyorsun ýhlamur yeþili falan olsa daha güzel olmaz mý freþ görünür böyle tuhaf geldi bana;0;0;0;0
Bence gayet güzel;1;2;1;1
Harikasýn teþekkürler?;1;1;1;1
Sonunda????????????????????;1;2;1;1
Gratis'in yeni markasý olan LYKD 'ý inceler misiniz ??????;2;2;2;2
Benim için aþýrý verimli bir video?? Önerdiklerini alýp kullanmak için sabýrsýzlanýyorum?? Teþekkürler Merve...?;1;1;1;1
Abla LYKD ürünleri ile makyaj yap;2;2;2;2
Uzuun zamandýr beklediðim video;1;2;1;1
Bilgisayar mühendisliði son sýnýf öðrencisiyim ve dilerim ki gelecekte mesleðimi senin mesleðini sevdiðin kadar severek icra ederim Merve Abla ????;1;1;1;1
Merve haným botoks a sýcak bakýyormusunuz bununla alakalý klinik iþlemler dosyasý yapsanýz ne güzel olur ?;2;2;2;2
ayyy harika öneriler hemen alýnsýnnn??;1;1;1;1
Hada Loba’yý ben de merak ediyordum. O kadar güzel anlattýnýz ki az önce aldým. Ancak þu an en uygun fiyat Gratis’te sanýrým. Ben Gratis’in sitesinde indirimde 87 küsüre aldým. Ürün diðer pek çok sitede daha pahalý. Düþünen varsa kaçýrmasýn. ?? Teþekkürler Merve Haným. ????;1;1;1;1
Teþekkür ediyorum gerçekten tüm samimiligimle saðol merve abla???;1;1;1;1
Merve abla far paketinin aynýsý bende de var ??;2;1;2;2
Arkadaþlar burnumun üstünde siyah noktalar var onlarý nasý yok ede bilirim (13 yaþýndayým);2;2;2;2
Bütçe dostu bir video tam aradýðým video buydu diðer YouTuberlar bizim bütçemizi düþünmüyor teþekkürler;1;1;0;1
Teþekkürler???? güzel video faydalý olmuþ??;1;1;1;1
Lovely markasýný inceler misiin;2;2;2;2
Merve abla çok mutlu oldum þu an çýldýrýyorum ??;1;1;1;1
Keþke fiyatlarýnýda söyleseydin be abla;2;0;0;0
Çok tatlýsýn tek beðendiðim yotuber;1;1;1;1
Makyaj bölümünde kesinlikle “BEAULÝS” alanýnda en iyisi uygun fiyat performans konusunda o markayý geçeni daha göremedim.;1;1;1;1
GRATÝSÝN YENÝ MARKASI LYKD MARKASINI DENERMÝSÝÝÝN??;2;2;2;2
Cilt bakýmý bu tarz öneri videolarýnda pek deðinilmiyor makyajýn aksine.Çok teþekkürler merve?? iyi ki varsýn;1;2;1;1
Essence fondöten yüzünden sivilcesi çýkan oldu mu;2;2;2;2
Tam okul açýlacakken ilaç gibi geldk;1;2;1;1
Merve karpuzlu seri yap;2;2;2;2
Sonunda beklediðim vidio geldi??;2;2;1;2
Evvveeetttt iste beklenen videooo bu uygun fiyatli gencler icin olan serinin devami gelsinnn;2;2;1;2
Merve abla güneþ kremi önermemiþsin en önemli cilt bakým adýný;2;2;0;2
Kanala abone olmamak beðenmemek yorum yapmamak ve yeni gelecek videoyu beklememek mümkün mü acaba ????????;2;2;1;2
Buðday ve esmer arasý bir tenim var hangi renkte far gider acaba;2;2;2;2
Ülkenin gençleri rahat bir nefes aldý xksömxmxlsm??;2;2;1;2
23:26 avon gösterdiðini ilk defa gördüm ve ben de de var keþke simli alsaymýþým;0;0;0;0
tüm önerilerini dikkate aldým, daha sonra görmek istediðim videolarý eklediðim oynatma listem var oraya ekledim, bazýlarýný ss aldým ?? çok teþekkür ederizzzzzz ??;1;1;1;1
ziaja sprey tonik kullanýyorum yüzümde gözenekler için kullanýyorum;2;1;1;1
Bu cilt bakýmýný haftalýk mý yapmamýz gerekiyor yoksa günlük mü yeniyimde;2;2;2;2
Merve abla 13 14 yaþ için de dahilmi bu ürünler yani kullanabilir miyiz;2;2;2;2
Merve abla gerçekten çok samimisin ve aþýrý derecede keyif alýyorum videolarda gerçekten yýllardýr ayný samimiyet benim için çok deðerlisin Merve abla seni seviyorum;1;1;1;1
Merve abla sen bir tanesin????teþekkür ederiz??;1;1;1;1
Yorumlara önem verdiðin o kadar belli ki ?? ben yazmamýþtým ama yazanlara isteyenlere denk gelmiþtim teþekkürler Merve haným??;1;1;1;1
"Hangi videonu izlersem izleyeyim ""ya ben bunu niye izledim þimdi"" hissi olmadý. Her videon çok baþarýlý sevgili Merve Özkaynak, teþekkürler sevgiler.";1;1;1;1
Merve abla sana sonsuz güvenirim sonunda geldi beklenen video ????;1;1;1;1
Selam ?? ziaja toniði omuz ve sýrtýma da sýkýyorum ben. Iþe yarýyor.;1;1;1;1
kesinlikle yariyor. Kurutuyor sivilceleri gozenekleri sikilastiriyor ben buzdolabina koyuyorum bir de;1;1;1;1
Þuan çok mutluyum Merve abla çok teþekkür ederiz seviliyorsun??;1;1;1;1
Yýllardýr beklediðim video.. ?????? Bu arada link buram buram emek kokuyor.. emeklerin için teþekkürler;1;1;1;1
çok güzel bir video olmuþ sadece transparan pudra yoktu sanýrým onun için bir öneriniz var mý ??;1;1;1;1
Merve abla senden ricam içerisinde katký maddesi olmayan ürünlerin videosu çekebilirmisin helal sitelerindeki kozmetik ürünleri lütfen yorumumu gör abla lütfen örneðin SAFÝa daha sonra yeþilmarka gibi gibi lütfen merve abla;2;2;2;2
Yýllardýr bir hayalim var lise mezuniyetimde(bu yýl) makyajýmý Merve ablanýn yapmasý veya yaptýrmasý... Seni küçüklüðümden beri takip ediyorum artýk tek fark çocuk olmamam ama vazgeçemiyoruz be senden Merve Özkaynak??;2;2;1;2
2 hafta kaldý mezuniyetime :(;2;2;2;2
Abla keþke trendyol linki de verseydin hepsiburada çok kötü bir uygulama asla linki kullanamýyorum;0;0;0;0
simple serum sivilce yapýyor haberiniz olsun;0;0;0;0
Seni seviyorum güzel insan herþey gönlünce olsun..;1;1;1;1
Videonuz çok güzel olmuþ. ????;1;1;1;1
Merve haným farmasinin kozmetik ve cilt bakým ürünlerini inceleyebilir misin?;2;2;2;2
Bunun sivilceli ciltler icin olan halini de yapabilir misiniz gerçekten çok iyi olur;2;2;2;2
Halký düþün?n Merve Abla ??;1;1;1;1
Yaðlý cilde sahip ve akneye meðilli bir cildim var simpþe nemlendiriciyi önerir misiniz ekstra yaðlanma yapar mý? (Lütfen cevap verin);2;2;2;2
Çok teþekkür ederim;1;2;1;1
kesinlikle oneriririm jel formlu zaten ekstra yaglanma yapmiyor az miktarda surup dahitmaniz yeterlu;1;1;1;1
Uygun fiyatlý stick allýk önerirmisiniz?????;2;2;2;2
Mervee yaa ?? Üniversite öðrencisi deðilim ama ilk saniyesinden son saniyesine kadar keyifle izledim yine neden çünkü senin tatlýþlýðýn yeter ??????;1;1;1;1
Merve haným ben 44 yaþýndayým ve bu ürünlerin bazýlarýný kullanýyorum. Yanlýþ mý yapýyorum !!!! ve benim yaþ grubum için uygun içerikli video bekliyorum . Sevgiler :));2;2;1;2
Hada lobi göz çevresi kremi rutinimde ve birde gece serumu var teþekkür ediyorum ?????? çok incesiniz ????;1;1;1;1
hayir yanlis yapmiyorsunuz?? sadece hada loboyu da ekleyin rutininize goz cevresi ve gece gunduz nemlendiriciyi mesela;1;1;1;1
Merve abla ben makyaj yapmayý sevmeyen ve bilmeyen biriyim. Daha yeni merak etmeye baþladým. Ve benim cildim kuru ve ben fazla abartý makyajý da sevmeyen biriyim bunlar cidden bana göre olur mu cevap verir misin;0;2;2;2
Ya rujun ( Golden rose nude look ruj ) çook güzel??;1;1;1;1
Aþk kadýn yaa, çok teþekkür ederim tavsiyelerin için?;1;1;1;1
Cox samimisin.cox iyisinnn.Azerbaycandan selamlarr;1;1;1;1
artýk baþýnýn etini yemeyeceðiz ????????;1;2;1;1
Merve Özkaynak ????????;2;2;1;2
insallah??????;2;2;1;2
bizim için emek veriyorsun merve abla ?? çok teþekkürler seni seviyoruz ???;1;1;1;1
sonundaaaaa artýk bunu yorumlarda görmeyeceðiz ????????????;1;2;1;1
umarým bir sonraki cilt bakýmý videosun da aþþýrý hassas ciltliler de unutmazsýn;2;0;0;0
Ziaja sprey toniði rossman alýþveriþimde hediye olarak yollamýþlardý ilk defa o zaman denedim. Gerçekten kullandýktan sonra ciltte býraktýðý ferah etki muazzam. Gözeneklerimi çok iyi temizliyor ayrýca.;1;1;1;1
??????????????;2;2;1;2
*hiç unutmam yýllar önce bir fondöten fýrçasý HM markasýnýn 25 TL önerisi ile almýþtým, 1 tane bile kýlý dökülmedi çok da berbat kullanýrým buna raðmen o kadar saðlam ki .. o günden sonra Merve abla ne önerse aldým bilinçli tüketici oldum hesaplý ve doðru harcadým parayý makyaj ürünlerine. Teþekkürler MRS. ÖZKAYNAK* ??;1;1;1;1
aferin sana canim benim??;1;1;1;1
Note’dan daha uygun fiyatlý bir kapatýcý istiyorsanýz Beaulis markasýnýn kapatýcýsý çok güzel;1;1;1;1
Rose hastasý olanlara gül suyunu önermem. Daha çok kýzarýrsýnýz. Kendimden yola çýkarak söyliyorum ??;0;0;0;0
Merve beyaz fondöteni bulamadýn mý ????;0;2;0;0
Bu iþin hakkýný veriyorsun gerçekten emeðine saðlýk ??her videonu sýkýlmadan izliyorum senelerdir çok severek takip ediyorum senin önerdiðin çoðu ürünü gözüm kapalý alýyorum bayýlýyorum sana ya ?? hep böyle kal ??;1;1;1;1
7 yýl öncesine gittim, görünüþün deðiþmiþ þimdi daha güzel olmuþsun ama konuþma þeklin asla deðiþmemiþ yine koruduðun bir çizgi var ve bu çok güzel galiba bir daha youtube'a senin gibi biri gelmeyecek bu üzücü. Ama senin tek olman çok güzel ?;1;1;1;1
Videoyu eski sanmýþtým ki bugün atýlmýþ tam da bakarkenn??;2;2;1;2
Umarým bu yaptýðým cilt bakýmlarý ileride senin kadar güzel kalabilmemde iþe yarar ??;1;2;1;1
Aþþýrý faydalý bir video olmuþ aþþýrý, yine Merve farký iþte.;1;1;1;1
????;2;2;1;2
yaðlý karma ciltliyim zjaja’nýn manuka toniðini düzenli kullandým ve gözeneklerimi küçülten ilk ve tek ürünle tanýþmýþ oldum???? sivilcelerime de acayip iyi geldi bundan sonra baþka bi toniðe dönüp bakmam bile????;1;1;1;1
Allahým okul açýlmadan geldi þükür;1;2;1;1
3.26 bu ürün yaþýma uygun mu acaba 12 yaþýndayým;2;2;2;2
Yine cok faydali,cok guzel bir video cok tesekkurler,seni cok seviyoruz ????;1;1;1;1
Simple çok guzel ?? ??;1;1;1;1
??????????;2;2;1;2
Sonundaa teþekkürler merve abla;1;1;1;1
Bunlarý kaç yaþ arasý kullanmasýný önerirsiniz;2;2;2;2
Uzun zaman önce evde yapilabilecek maskeler hazýrlamýþtýn yenisi gelse mi acaba ??;2;2;2;2
Likit fondoten sanki bi týk cildinde yaðlanma mý yaptý yoksa simple yaðýný falan da kullandýðýn için mi? ??;0;0;0;0
bayýlýyorum sana kadýnnnn;1;1;1;1
??????Merveee ailenin kedi bölümü için de bi video da 10 dak. ayýrabilir misin????;2;2;2;2
gözaltý için sabitleyici pudra yok ve sabitleyici spreyde yok Merve abla;0;2;0;0
Wetnwild Higlighter'ý Kesinlikle öneriyoeum 3 yýldir kullanýyorum (evet saðlýklý deðil bu þekilde ama) hala bitmedi ve aþþýrý iyi pigment veriyor. Uygun fiyatlý alýcaðýnýz en iyi highlighter;1;1;1;1
Merhaba Merve abla bir kore markasý olan Atomy’nin cilt bakým seti ve maskelerini dener misin ? ??????;2;2;2;2
?;2;2;1;2
Çok güzel ve yararlý bir video olmuþ bu arada gratisin yeni markasý lykd ý da denemelisiniz:)));1;1;1;1
Allah allah allahhh bu nasýl sevmek jdjx;1;2;1;1
keþke hepsi vegan olsa :(;0;2;0;0
ablaaaaaaaaaaaaa sana kurban olayým ya 3 uzun süredür bekliyordum valla hepsinin de ss sini aldým asla kaçýrmam haha;1;1;1;1
Videodan emek akýyor ya;1;1;1;1
Sonunda bu videoooooo böyle devam et Merve ????????;1;1;1;1
????;2;2;1;2
Benim T bögem sivilce dolu napmalýyým;0;2;0;0
Merve abla hintli oyuncu Katrina Kaif'in makyaj malzemelerini de inceleyebilir misin? Merak ediyorum gösterildiði gibi mi gerçekten. Þimdiden teþekkür ederim ??;2;2;2;2
Kombin fikirleri alabiliriz miyiz bi sonraki Videoyaaaa;2;2;2;2
Videodan baðýmsýz olarak çok güzel görünüyorsun makyaj inanýlmaz güzel olmuþ ??;1;2;1;1
Merve abla cildim kuruyo ve soyulmaya baþlýyo ne kulansam düzelir;0;2;0;0
bence 50 yaþ üstü için de yapýlmalý, hiç böyle bir video yok çünkü;2;2;0;2
Merve ablacým öncelikle bu güzel video için teþekkür ederim minik bir detayý atlýyamadým zýaja nýn manuka aðacý yaðý içeren toniðini bende çok seviyorum kullanýcak kiþilerin bilgisi olmasý adýna içeriðinde çay aðacý yaðý bulunmuyor nice güzel videolarýna ??;1;1;1;1
Burda göz rengi farký çok belli.. ??;2;2;1;2
Liseye baþlamadan önce çok iyi oldu bu;1;2;1;1
sonunda...;1;2;1;1
Bronzlasmissin;2;2;1;2
Harikasýn mevy ?? ojelerinin markasý numarasýný da söylermisin? Aþýrý yakýþmýþlar;1;1;1;1
AÐAAÐAÐAAÐAÐ MERVE ABLAAAAA BEKLENEN VÝDEO GELDÝ ÇOK TEÞEKKÜRLER??;1;1;1;1
Her videoda daha da güzelleþtiðini konuþmayacak mýyýz yani;1;1;1;1
Mevy arka plan rengi çok kötü yüzünü aþýrý kapatmýþ deðiþtir lütfen;0;0;0;0
Merhaba ??Merve yine sen ve muhteþem anlatýmýn.. faydalý bir video olmuþ teþekkürler ?;1;1;1;1
Merve cildin çok güzel ve parlak ??kesinlikle geleceðimden daha parlak ????;1;1;1;1
Cerave pek uygun fiyatlý deðil ya :/;0;0;0;0
Þu YouTube camiasýnda en samimi ve doðru bildiðim tek YouTuber kadýn olabilirsin????;1;1;1;1
??;2;2;1;2
Ay sonunda biri güncel fiyatlarla çekti merve aþksýn ?? bi de parfüm çeksen tadýndan yenmez;1;1;1;1
Geldiðð beklediðimiz video geldiii ??;1;1;1;1
Cerave krem bir harika mutlaka goz atin derim????;1;1;1;1
Mükemmel bir video olmuþ Emeðine saðlýk Merve Özkaynak farký bu iþte ??;1;1;1;1
harika?? eþi bulunmasý zor bir video ??;1;1;1;1
her zamanki gibi bayyýlldýk merve abla;1;1;1;1
Arka plan rengi cildinin tonunu kötü göstermiþ ???????;0;0;0;0
Allah'ým her gelen videoyu izlerken bu Heyecaným durmuyo;1;1;1;1
Merve. Abla keþke bu yorumumu görsen ve beðensen seni çok seviyorum ve mükemmel bir video ??;1;2;1;1
Okey uygun bazýlarý da ben bir maskeye 25 TL vermem ve fiyatlar bir öðrenciye göre bazýlarý çok pahalý açýkçasý en fazla 30 tlye kadsr ürünler olsa daha iyi olurdu herkese uygun;0;0;0;0
Harikasýn tam üniversiteye yeni baþlayanlar için olmuþ;1;1;1;1
Gerçekten çok iyi video olmuþ tebrik ederiiim????;1;1;1;1
Hada lobo toniði herkes beðenince fiyatý tavan yaptý almaktan vazgeçtim resmen insaný salak yerine koymaya çalýþýyor bazý markalar;0;0;0;0
